\bbison,bison
\bbuffalo,buffalo
\bdeer,deer
.*fish,$0
\bmoose,moose
\bpike,pike
\bsheep,sheep
\bsalmon,salmon
\btrout,trout
\bswine,swine
\bplankton,plankton
\bsquid,squid
(.*craft),$0
\bhuman,humans
\bcaiman,caimans
\bcayman,caymans
\btalisan,talismans
\bshaman,shamans
(.*m)an,$1en
\box,oxen
(.*child),$1ren
(.*f)oot,$1eet
\bblouse,blouses
(.*[ml])ouse,$1ice
\bmongoose,mongooses
(.*g)oose,$1eese
(.*t)ooth,$1eeth
(.*p)erson,$1eople
\bpenis,penises
\bbeef,beefs
\bmoney,monies
\balumnus,alumni
\balveolus,alveoli
\bbacillus,bacilli
\bbronchus,bronchi
\blocus,loci
\bnucleus,nuclei
\bstimulus,stimuli
\bmeniscus,menisci
\bsarcophagus,sarcophagi
(.*radi)us,$1i
\btrilby,trilbys
\bsabretooth,sabretooths
\bsabertooth,sabertooths
\blowlife,lowlifes
\bflatfoot,flatfoots
\btenderfoot,tenderfoots
\bromany,romanies
\bquartz,quartzes
\btopaz,topazes
\balumna,alumnae
\balga,algae
\bvertebra,vertebrae
\bpersona,personae
\bbacterium,bacteria
\bagendum,agenda
\bdesideratum,desiderata
\berratum,errata
\bstratum,strata
\bdatum,data
\bovum,ova
\bcriterion,criteria
\bphenomenon,phenomena
\baficionado,aficionados
\balbino,albinos
\barchipelago,archipelagos
\barmadillo,armadillos
\bauto,autos
\bavocado,avocados
\bbimbo,bimbos
\bbingo,bingos
\bbiro,biros
\bbolero,boleros
\bbongo,bongos
\bcanto,cantos
\bcappuccino,cappuccinos
\bcasino,casinos
\bcello,cellos
\bcommando,commandos
\bconcerto,concertos
\bcredo,credos
\bcrescendo,crescendos
\bdemo,demos
\bdynamo,dynamos
\bembryo,embryos
\bespresso,espressos
\beuro,euros
\bfalsetto,falsettos
\bfiasco,fiascos
\bfilipino,filipinos
\bflamenco,flamencos
\bfurioso,furiosos
\bgeneralissimo,generalissimos
\bghetto,ghettos
\bgigolo,gigolos
\bgizmo,gizmos
\bgringo,gringos
\bgumbo,gumbos
\bgyro,gyros
\bhairdo,hairdos
\bhippo,hippos
\bimpetigo,impetigos
\binferno,infernos
\binfo,infos
\bintermezzo,intermezzos
\bjumbo,jumbos
\bkilo,kilos
\blibido,libidos
\blibretto,librettos
\blido,lidos
\blimbo,limbos
\blimo,limos
\blingo,lingos
\blino,linos
\bloco,locos
\blogo,logos
\blumbago,lumbagos
\bmacho,machos
\bmacro,macros
\bmafioso,mafiosos
\bmagneto,magnetos
\bmagnifico,magnificos
\bmanifesto,manifestos
\bmedico,medicos
\bmemo,memos
\bmetro,metros
\bmicro,micros
\bmono,monos
\bneutrino,neutrinos
\boctavo,octavos
\boregano,oreganos
\bpanto,pantos
\bpedalo,pedalos
\bphoto,photos
\bpimento,pimentos
\bpinto,pintos
\bPluto,Plutos
\bpogo,pogos
\bpolo,polos
\bponcho,ponchos
\bpro,pros
\bpsycho,psychos
\bpueblo,pueblos
\bquarto,quartos
\brhino,rhinos
\brisotto,risottos
\brococo,rococos
\brondo,rondos
\bsaddo,saddos
\bsago,sagos
\bsalvo,salvos
\bsilo,silos
\bsirocco,siroccos
\bsombrero,sombreros
\bstaccato,staccatos
\bstucco,stuccos
\bstylo,stylos
\bsumo,sumos
\btechno,technos
\btimpano,timpanos
\btobacco,tobaccos
\btorso,torsos
\btremolo,tremolos
\btypo,typos
\btyro,tyros
\bufo,ufos
\bverso,versos
\bvibrato,vibratos
\bvioloncello,violoncellos
\bweirdo,weirdos
\byo-yo,yo-yos
\bzero,zeros
